"2 theta, degree"	Intensity
22.2294	37091.646
22.2464	39258.9295
22.2634	42241.3421
22.2804	45761.3874
22.2974	49770.5357
22.3144	54075.9357
22.3314	58604.8371
22.3484	58296.9519
22.3654	50343.5125
22.3824	42791.6465
22.3994	39201.9274
22.4164	34173.5115
22.4334	28145.6904
22.4504	25369.4587
22.4674	24534.387
22.4844	23991.8347
22.5014	23777.6737
22.5184	23571.3187
22.5354	23354.2216
22.5524	23377.2881
22.5694	23581.5996
22.5864	23369.457
22.6034	23525.115
22.6204	23650.8577
22.6374	23180.6295
22.6544	23149.1443
22.6714	23346.9504
22.6884	23257.2209
22.7054	23132.7212
22.7224	23239.4088
22.7394	23058.1494
22.7564	22954.902
22.7734	22590.1808
22.7904	22919.2896
22.8074	22934.1194
22.8244	23028.3907
22.8414	22878.8387
22.8584	22881.6521
22.8754	22665.3546
22.8924	22774.8879
22.9094	22909.8407
22.9264	22995.2501
22.9434	22944.038
22.9604	23165.9034
22.9774	23134.2841
22.9944	22937.8238
23.0114	22786.3352
23.0284	22896.6562
23.0454	23036.422
23.0624	23031.6046
23.0794	23041.4324
23.0964	23053.4134
23.1134	23004.884
23.1304	22712.3872
23.1474	22824.78
23.1644	23054.9704
23.1814	23133.1813
23.1984	23019.925
23.2154	22959.9812
23.2324	22896.0722
23.2494	22830.1112
23.2664	22949.8691
23.2834	22940.3052
23.3004	22879.2742
23.3174	22917.9521
23.3344	22983.142
23.3514	22813.8757
23.3684	22961.0361
23.3854	23232.1621
23.4024	23322.6092
23.4194	23295.2817
23.4364	23113.8007
23.4534	23196.7671
23.4704	22757.3602
23.4874	22927.6803
23.5044	22754.6419
23.5214	22809.4846
23.5384	23034.3286
23.5554	22943.1173
23.5724	23199.2273
23.5894	23004.9693
23.6064	23186.8061
23.6234	23138.3181
23.6404	22938.1909
23.6574	23104.2681
23.6744	23237.2664
23.6914	23091.7956
23.7084	23393.9176
23.7254	23753.0994
23.7424	23968.5265
23.7594	23879.3674
23.7764	24189.0772
23.7934	24274.7974
23.8104	24328.0279
23.8274	24989.8896
23.8444	25334.1751
23.8614	25454.982
23.8784	26044.4383
